Time Stamp,Emotion
0.0,neutral
0.06666666666666667,neutral
0.13333333333333333,neutral
0.2,neutral
0.26666666666666666,neutral
0.3333333333333333,neutral
0.4,neutral
0.4666666666666667,surprised
0.5333333333333333,surprised
0.6,surprised
0.6666666666666666,surprised
0.7333333333333333,surprised
0.8,surprised
0.8666666666666667,surprised
0.9333333333333333,neutral
1.0,neutral
1.0666666666666667,surprised
1.1333333333333333,surprised
1.2,surprised
1.2666666666666666,surprised
1.3333333333333333,neutral
1.4,surprised
1.4666666666666666,neutral
1.5333333333333334,neutral
1.6,neutral
1.6666666666666667,surprised
1.7333333333333334,surprised
1.8,surprised
1.8666666666666667,surprised
1.9333333333333333,neutral
2.0,neutral
2.066666666666667,surprised
2.1333333333333333,surprised
2.2,neutral
2.2666666666666666,surprised
2.3333333333333335,neutral
2.4,neutral
2.466666666666667,surprised
2.533333333333333,surprised
2.6,sad
2.6666666666666665,neutral
2.7333333333333334,sad
2.8,neutral
2.8666666666666667,sad
2.933333333333333,surprised
3.0,surprised
3.066666666666667,neutral
3.1333333333333333,surprised
3.2,neutral
3.2666666666666666,neutral
3.3333333333333335,neutral
3.4,neutral
3.466666666666667,neutral
3.533333333333333,neutral
3.6,surprised
3.6666666666666665,surprised
3.7333333333333334,neutral
3.8,neutral
3.8666666666666667,surprised
3.933333333333333,surprised
4.0,fear
4.066666666666666,surprised
4.133333333333334,surprised
4.2,sad
4.266666666666667,sad
4.333333333333333,sad
4.4,sad
4.466666666666667,surprised
4.533333333333333,surprised
4.6,surprised
4.666666666666667,surprised
4.733333333333333,neutral
4.8,surprised
4.866666666666666,surprised
4.933333333333334,surprised
5.0,fear
5.066666666666666,surprised
5.133333333333334,surprised
5.2,surprised
5.266666666666667,sad
5.333333333333333,sad
5.4,surprised
5.466666666666667,surprised
5.533333333333333,sad
5.6,surprised
5.666666666666667,surprised
5.733333333333333,surprised
5.8,surprised
5.866666666666666,surprised
5.933333333333334,sad
6.0,sad
6.066666666666666,surprised
6.133333333333334,sad
6.2,surprised
6.266666666666667,surprised
6.333333333333333,surprised
6.4,surprised
6.466666666666667,surprised
6.533333333333333,surprised
6.6,surprised
6.666666666666667,surprised
6.733333333333333,disgust
6.8,disgust
6.866666666666666,disgust
6.933333333333334,disgust
7.0,disgust
7.066666666666666,disgust
7.133333333333334,disgust
7.2,disgust
7.266666666666667,disgust
7.333333333333333,disgust
7.4,disgust
7.466666666666667,disgust
7.533333333333333,disgust
7.6,disgust
7.666666666666667,disgust
7.733333333333333,angry
7.8,angry
7.866666666666666,angry
7.933333333333334,neutral
8.0,neutral
8.066666666666666,angry
8.133333333333333,angry
8.2,surprised
8.266666666666667,surprised
8.333333333333334,surprised
8.4,surprised
8.466666666666667,angry
8.533333333333333,angry
8.6,angry
8.666666666666666,angry
8.733333333333333,angry
8.8,angry
8.866666666666667,surprised
8.933333333333334,disgust
9.0,disgust
9.066666666666666,disgust
9.133333333333333,happy
